comment,label
You're amazing!,support
Cringe content,toxic
Legend!,support
This is trash,toxic
Legend!,support
Waste of time,toxic
Best tutorial I've seen,support
Cringe content,toxic
Legend!,support
You're such a loser,toxic
Legend!,support
Waste of time,toxic
Legend!,support
Worst video ever,toxic
Keep up the great work,support
Cringe content,toxic
Awesome explanation,support
Clickbait title,toxic
Thanks for the content!,support
Clickbait title,toxic
This helped me a lot!,support
Clickbait title,toxic
Awesome explanation,support
Cringe content,toxic
Legend!,support
This is trash,toxic
So clear and helpful,support
You're such a loser,toxic
So clear and helpful,support
Worst video ever,toxic
You're amazing!,support
You're such a loser,toxic
Legend!,support
Can't believe people like this,toxic
Keep up the great work,support
Cringe content,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Much appreciated!,support
Cringe content,toxic
I learned a lot!,support
Can't believe people like this,toxic
Much appreciated!,support
Waste of time,toxic
I learned a lot!,support
This is trash,toxic
I learned a lot!,support
This is trash,toxic
I learned a lot!,support
You're so dumb,toxic
You're amazing!,support
You're so dumb,toxic
Thanks for the content!,support
Can't believe people like this,toxic
This helped me a lot!,support
This is trash,toxic
Thanks for the content!,support
You sound horrible,toxic
Keep up the great work,support
Worst video ever,toxic
This helped me a lot!,support
You sound horrible,toxic
You're amazing!,support
You're so dumb,toxic
Much appreciated!,support
Worst video ever,toxic
Keep up the great work,support
Worst video ever,toxic
Legend!,support
Waste of time,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Best tutorial I've seen,support
This is trash,toxic
So clear and helpful,support
You sound horrible,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
This is trash,toxic
You're amazing!,support
You're so dumb,toxic
So clear and helpful,support
Stop making content,toxic
So clear and helpful,support
Can't believe people like this,toxic
This helped me a lot!,support
Worst video ever,toxic
You're amazing!,support
Can't believe people like this,toxic
Legend!,support
Clickbait title,toxic
Awesome explanation,support
Cringe content,toxic
So clear and helpful,support
You're so dumb,toxic
Keep up the great work,support
You're so dumb,toxic
So clear and helpful,support
Can't believe people like this,toxic
